brand;code;series;model;kind;size;description
istanbul;ML;signature;mel lewis;ride;21;
istanbul;ML;signature;mel lewis;ride;22;
istanbul;ML;signature;mel lewis;ride;20.5;1982 ride
istanbul;ML;signature;mel lewis;crash ride;19;crash ride
istanbul;ML;signature;mel lewis;crash ride;18;1982 crash ride
istanbul;ML;signature;mel lewis;Hi-hats;14;
istanbul;ML;signature;mel lewis;Hi-hats;13;1982 hi-hats
istanbul;MTR;signature;mantra;ride;22;
istanbul;MTC;signature;mantra;Crash;20;
istanbul;MTH;signature;mantra;Hi-hats;15;
istanbul;CBOR;signature;om;ride;22;
istanbul;CBOC;signature;om;Crash;16;
istanbul;CBOC;signature;om;Crash;18;
istanbul;CBOH;signature;om;Hi-hats;15;
istanbul;LWER;signature;epoch;ride;22;
istanbul;LWEC;signature;epoch;Crash;17;
istanbul;LWEC;signature;epoch;Crash;18;
istanbul;LWEC;signature;epoch;Crash;19;
istanbul;LWEC;signature;epoch;Crash;20;
istanbul;LWEH;signature;epoch;Hi-hats;14;
istanbul;AGR;signature;agop;ride;19;
istanbul;AGR;signature;agop;ride;20;
istanbul;AGR;signature;agop;ride;21;
istanbul;AGR;signature;agop;ride;22;
istanbul;AGR;signature;agop;ride;24;
istanbul;AGR;signature;agop;ride;26;
istanbul;AGFR;signature;agop;flat ride;18;
istanbul;AGFR;signature;agop;flat ride;20;
istanbul;AGFR;signature;agop;flat ride;22;
istanbul;AGC;signature;agop;Crash;16;
istanbul;AGC;signature;agop;Crash;18;
istanbul;AGC;signature;agop;Crash;20;
istanbul;AGH;signature;agop;Hi-hats;13;
istanbul;AGH;signature;agop;Hi-hats;14;
istanbul;AGH;signature;agop;Hi-hats;15;
istanbul;AGH;signature;agop;Hi-hats;16;
istanbul;AGCH;signature;agop;china;18;
istanbul;AGCH;signature;agop;china;20;
istanbul;AGCH;signature;agop;china;22;
istanbul;IMR;signature;idris muhammad;ride;22;
istanbul;JWSR;signature;joey waronker;ride;24;
